cue	سرنخ - سرنخ دادن
focal	مهم - مرکزی - کانونی
granite	گرانیت
facade	نمای بیرونی
flock	گله - جمعیت
ancestor	جد - نیا
monument	مقبره - بنای تاریخی - بنای یادبود
hang out	زمان زیاد صرف کردن
bask	حمام آفتاب گرفتن
intenstine	روده
kidney	کلیه - قلوه
lung	شش - جگر سفید
liver	کبد - جگر سیاه
dune	تپه شن - شن روان
ritual	آیین - تشریفات - آیینی
gravel	ماسه - شن
glacial	یخبندان - icy
trickle	کم کم جاری شدن - کم کم رفتن
stimulate	برانگیختن - تحریک کردن
deteriorate	بدتر شدن
medium	میانه - وسیله - رسانه
repetitive	تکراری - مکرر
sheath	قلاف - پوشش
straighten	راست کردن
numbness	بی حسی
swollen	ورم کرده
tingle	احساس سوزش داشتن
enthusiasm	شور و اشتیاق
counsel	مشاور - مشورت - مشورت دادن
boredom	خستگی و بی حوصلگی
doughnut	نان شیرینی
bagel	نان حلقوی
pragmatism	عمل گرایی - مصلحت گرایی
tremendous	عظیم - فوق العاده
keep up	جلو رفتن - پیش رفتن
catch up	رسیدن به (حد دیگران)
outstanding	معوق - بسیار مهم - بسیار خوب
strive	به شدت تلاش کردن
passionate	به شدت علاقه داشتن - مشتاق
botany	گیاه شناسی
seedling	جوانه - نهال
shoot	جوانه - تیراندازی کردن - به سرعت حرکت کردن
tip	hint - نوک - انعام دادن
composition	ترکیب - a short essay - قطعه موسیقی یا شعر
show up	سر قرار حاضر شدن
drainage	سیستم زهکشی - فاضلاب
distinctive	متمایز و مشخص
relief	آرامش - تسکین - کمک
dendritic	به شکل شاخه شاخه
circulation	گردش - چرخش
hub	مرکز فعالیت
fracture	شکستگی - شکستن
fault	عیب - خطا - گُسل
carve	حک کردن - کنده کاری کردن
fold	تا زدن - چین خوردگی
outcrop	برآمدگی سطح زمین
uplift	بالا رفتن - احساس شادی و امید
contrary	برخلافِ - مقابل - لجوج
envision	تصور کردن - تجسم کردن
proportion	تناسب - هماهنگی - سهم
conceive	تصور کردن - باور داشتن - باردار شدن
sculptor	تندیس گر
sculpture	تندیس - تندیس ساختن
countless	بی شمار
pigment	رنگدانه - ماده رنگی
prone	مستعد تاثیر - دمر خوابیده
aspire	آرزو و علاقه داشتن
homage	تجلیل - بزرگداشت
account	حساب - صورت حساب - به حساب آوردن
cart	ارابه - گاری
marble	سنگ مرمر
crayon	مداد شمعی
chalk	گچ - با گچ نوشتن یا کشیدن
charcoal	زغال
outrageous	زشت - شنیع - تکان دهنده
spontaneous	خود جوش و فوری
harken / hearken	گوش دادن و پذیرفتن
mix up	چیزی یا کسی را با دیگری اشتباه کردن
subsidiary	تابعه - جنبی - فرعی
expatriate	خارجی و غریب - وطن خود را ترک کردن
step	قدم - قدم زدن - گام - مرحله - یک پله
scatter	پراکنده کردن - پاشیدن - disperse
envy	حسادت - حسرت - jeolousy
proclaim	اعلام کردن - حاکی بودن
deprive	محروم کردن - بی نصیب کردن
promising	امیدوار کننده
ammonia	آمونیاک
hold-up	تاخیر - delay
twofold	دو قسمتی - دو برابر
refinery	پالایشگاه - تصفیه خانه
dispense	توزیع کردن
fleet	ناوگان
innate	مادر زادی - inborn
predisposition	زمینه
deity	خداوند - خدا
clergy	روحانیون
aristocracy	اشراف
dissemination	انتشار اطلاعات
aqueduct	کانال آب
endeavor / endeavour	تلاش - تلاش کردن
convergent	همگرا
biotic	مربوط به حیات و زیست
evolve	به تدریج رشد و نمو یافتن - تکامل یافتن
divergent	واگرا
longitude	طول جغرافیایی
latitude	عرض جغرافیایی
ballet	رقص باله
intricate	پیچیده
sway	تاب خوردن
parade	سان - رژه
equestrain	سوارکاری
grand	مجلل - بزرگ - با شکوه
throne	تخت پادشاهی
staircase	راه پله
banquet	ضیافت رسمی - غذای متنوع و خوب
enchantress	ساحره جذاب و زیبا
choreograph	طراحی رقص کردن
before	قبل از - پیش رو
linguist	زبان شناس
dialect	گویش - زبان محلی
competence / competency	شایستگی
incredible	unbelievable
intuition	درک حسی - شهود
buffet	بوفه
secrete	ترشح کردن - پنهان کردن
limestone	سنگ آهک
exoskeleton	پوست سخت (جانواران)
fragrant	خوشبو - معطر
bead	دانه (های شبیه تسبیح)
devour	حریصانه بلعیدن
conducive	تسهیل کننده - موجب شونده
abundant	plentiful - فراوان
congregate	تجمع کردن
symbiotic	به روش همزیستی
algae	جلبک
flourish	رونق داشتن - شکوفا شدن - thrive
shallow	کم عمق - سطحی
lagoon	تالاب
tentacle	شاخک - بازو
mustard	خردل - گیاه خردل
condiment	ادویه - چاشنی
flavor	طعم
accommodate	منزل دادن - جا دادن
compromise	مصالحه - توافق - به خطر افتادن
converge	همگرا شدن - به هم نزدیک شدن
persona	شخصیت
perishable	فاسد شدنی
work out	تمرین کردن - تدبیر کردن - به نتیجه رسیدن
lean to = lean towards	گرایش داشتن به - متمایل بودن به
enlist	متقاعد به همکاری کردن - (برای خدمت) ثبت نام کردن
conform	پیروی کردن - همانند (بقیه) شدن
unanimous	هم رای - هم نظر - اتفاق آراء
exert	به کار بردن
dissent	نظر متفاوت داشتن
acquit	تبرئه کردن
accuse of sth	به چیزی متهم کردن
defendant	متهم
solidify	جامد کردن یا شدن - محکم کردن یا شدن
ephemeral	کم دوام - کم عمر
dismiss	بی ارزش و بی اهمیت دانستن - برکنار کردن - از ذهن بیرون کردن
cupboard	کابینت - کمد دیواری
fumes	دود - بخارات سمی
amalgamate	merge
rinse	با آب شستن - آب کشیدن
distill (sth from)	تقطیر کردن - عصاره (چیزی را) گرفتن
toxic	سمی - poisonous
headrest	پشت سری صندلی
provisional	temporary
contingent (upon)	مشروط به
custom	رسم - عرف
coercion	اجبار
impose (on/upon)	تحمیل کردن - (قانون) وضع کردن - اِعمال کردن
mobilize	بسیج کردن
virtue	حُسن - خوبی - مزیت
postulate	مبنا قرار دادن - فرض کردن
embody	بیان کردن - represent
sink	غرق شدن - غرق کردن - سینک ظرف شویی
porous	متخلخل - سوراخ سوراخ
tar	قیر
pit	گودال - گودال ایجاد کردن
crude	خام و نپخته - ناشیانه
bent	خمیده
terrain	منطقه
stiff	سفت و سخت
literary	ادبی
transcend	فراتر بودن - فراتر رفتن
rival	رقیب - رقابت کردن
recitation	از حفظ خواندن - از حفظ گفتن
insofar as	تا جایی که - تا حدی که
self-expression	ابراز عقاید
devote	وقف کردن - اختصاص دادن
reconcile	آشتی کردن - مصالحه کردن
objectively	به صورت واقعی
inclusive	شامل شده - به حساب آمده
exclusive	انحصاری - اختصاصی
inconsistent	متناقض - نا هماهنگ
desert	بیابان - ترک کردن (کسی) ـ فرار کردن از خدمت
aunt	خاله - عمه - زن عمو - زن دایی
widow	بیوه
calm	آرام - آرام کردن
on account of	به دلیل
abandon	ترک کردن - منصرف شدن - رها کردن
keen	sharp - eager - علاقه مند - شدید و عمیق
tact	تدبیر - درایت
oath	سوگند - فحش
vacant	خالی - اشغال نشده
hardship	سختی - مشکلات
gallant	شجاع - مبادی آداب
to be unaccustomed to	عادت نداشتن به
bachelor	مرد مجرد - لیسانس
qualify	واجد شرایط بودن - شرایط لازم را کسب کردن
admire	تحسین کردن
thoughtfulness	با فکری
curse	فحش - فحش دادن
lot	قطعه زمین
landlord	صاحب خانه
buddy	رفیق
contest	مسابقه - مبارزه
disobey	نافرمانی کردن
chorus	گروه کُر
overcome	غلبه کردن
break in / break into	به زور وارد (جایی) شدن
fighter	مبارز
champion	قهرمان
swear	قسم خوردن - فحش دادن
cloak	شنل
mud	گِل
puddle	چاله آب
spread	گستردن - گسترش دادن
nobleman	نجیب زاده
breeding	زاد و ولد
anecdote	قصه - داستان کوتاه
upbringing	تربیت و پرورش
accordingly	بنابراین - در نتیجه
lay	قرار دادن - پهن کردن - چیدن - تخم گذاشتن
commit	مرتکب شدن - متعهد به انجام (کاری) شدن
slum	محله فقیر نشین
maid	خدمتکار
flee	گریختن ـ فرار کردن
treat sb to sth	کسی را مهمان چیزی کردن
corpse	جسد
conceal	پنهان کردن - مخفی شدن
dismal	تاریک و غم انگیز
frigid	بسیار سرد - غیر دوستانه
inhabit	سکونت گزیدن
numb	بی حس - کرخت
peril	خطر - danger
recline	تکیه دادن - لم دادن - به پشت دراز کشیدن
shriek	فریاد زدن - scream
sinister	شیطانی
tempt	وسوسه کردن - ترغیب کردن
wager	شرط بندی- شرط بندی کردن - bet
deforestation	جنگل زدایی
marginal	حاشیه ای
overcultivation	کشت و کار بی رویه
transitional	موقت - گذرا
scarce	کم - نا کافی - کمیاب
desertification	بیابان زایی
creep	خزیدن - چهار دست و پا رفتن
steadily	پیوسته و یکنواخت
fertile	حاصلخیز - بارور - پر بار
advance	پیشرفت کردن - پیشروی
brick	آجر
handicap	معلولیت - disability
emission	انتشار
wheat	گندم
ambitious	جاه طلب - بلند پرواز
sensible	معقول - محسوس
excessive	بیش از اندازه - inordinate
landscape	چشم انداز
adjacent	مجاور - نزدیک
antibody	پاد تن
axis	محور - pl. axes
beam	باریکه نور - تیرچه
bond	متصل کردن - پیوند - عهد - پیمان
clone	کپی - کاملا مشابه
comprise	در بر داشتن - شامل بودن - consist of
consistent	منسجم - هماهنگ - با ثبات
continental	قاره ای
correlation	رابطه - همبستگی
diagnosis	تشخیص (بیماری) - عیب یابی
embryo	جنین - مرحله اولیه
exceed	فراتر بودن - (از حد چیزی) تجاوز کردن
excess	بیش از اندازه
expansion	توسعه - بسط - انبساط
exposure	در معرض (چیزی) بودن
fraction	بخشی از - قسمت کوچکی از - کسر
gene	ژن
gravity	گرانش - جاذبه زمین
induce	متقاعد کردن - persuade
intensity	شدت - قدرت
mammal	پستاندار
membrane	غشاء
mortality	فناپذیری - مرگ و میر
mutation	جهش - دگرگونی
phenomenon	پدیده
prescribe	نسخه تجویز کردن
probe	بررسی کردن - تفحص کردن - investigate
rat	موش صحرایی
residue	ته مانده - باقی مانده
solar	خورشیدی
solvent	حلال
spine	backbone - شیرازه
stain	لکه - لکه دار کردن - رنگ زدن
transformation	دگرگونی - تغییر شکل - تبدیل
transition	تحول - گذر ـ انتقال
transmission	transfer - انتقال
undergo	تجربه کردن (تغییر یا چیز ناخوشایند)
underlie	پایه و دلیل چیزی بودن
undertake	به عهده گرفتن - تعهد کردن
velocity	سرعت - سرعت اولیه
volcano	آتشفشان
widespread	گسترده - رایج
socket	پریز برق - سوکت
plug	دوشاخه برق - در پوش
truly	واقعا
bonus	پاداش
boost	افزایش دادن - بالا بردن
breach	نقض - نقض کردن - رخنه - رخنه کردن
clause	ماده قراداد یا قانون
broker	کارگزار - دلال
burden	بار سنگین - بار مسئولیت - تحمیل کردن
creditor	طلب کار
debtor	بدهکار
delegate	نماینده (یک گروه) - (کسی را) نماینده (خود) کردن
disposal	از بین بردن - (در تجارت) فروش اموال
expertise	مهارت - تخصص
liable	مسئول - محتمل - مستعد تاثیر
monopoly	انحصار - انحصاری
obligation	اجبار - تعهد
outcome	نتیجه - خروجی
perceive	دریافتن - فهمیدن - دیدن
portfolio	کلاسور - سبد سهام - سبد محصولات
provision	تهیه کردن - تدارک
revenue	درآمد - عایدات
sustainable	بادوام - پایدار
takeover	تصاحب
tender	ترد - شکننده - دردناک - پیشنهاد قیمت
consistency	انسجام - هماهنگی - ثبات
inconsistency	تناقض - ناهماهنگی
constitute	تشکیل دادن - make up
formulate	تنظیم کردن - فرموله کردن
indicate	نشان دادن - اشاره کردن
legislation	قانون
proceed	پیش رفتن - ادامه دادن
respond	پاسخ دادن - واکنش نشان دادن
affective	عاطفی
commissioner	عضو کمیسیون
injure	صدمه زدن - زخمی کردن
perception	درک - برداشت
commentary	توضیح شفاهی یا کتبی (چیزی)
consent	مجوز انجام - توافق - موافقت کردن
inconstancy	عدم ثبات - بی وفایی
constrain	مجبور کردن - محدود کردن
reside	ساکن بودن - اقامت داشتن
convention	عرف - سنت - معاهده - همایش
conventional	متعارف - سنتی - قرادادی
site	مکان - قرار داشتن
survey	بررسی - بررسی کردن
deduce	استنباط و نتیجه گیری کردن - infer
dominate	تسلط داشتن - غالب بودن
emphatic	تاکید شده - موکد
negate	نفی کردن - بی اثر و خنثی کردن - nullify
disproportion	عدم تناسب - عدم هماهنگی
reliance	اعتماد - اتکا
vol.	volume
adequacy	کفایت - بسندگی
contrast	تفاوت - مقایسه کردن
domestic	وطنی - خانگی - اهلی
emerge	پدیدار شدن - بیرون آمدن
erroneous	اشتباه - نادرست
hence	از این رو - به این دلیل
occupant	ساکن - مستاجر - سرنشین
occupation	شغل - مشغولیت - تصرف
regime	رژیم - متد مدیریت
retention	حفاظت - نگهداری
statistician	آمار شناس - آمارگر
subsequent	متعاقب - بعدی
amend	اصلاح و تجدید نظر کردن (مانند قانون)
incapacitate	ناتوان کردن
decline	کاهش - کم شدن - رد کردن
discretion	آزادی نظر - احتیاط
evolution	تکامل - توسعه تدریجی
imagery	تصویر سازی ذهنی - تصاویر
liberate	آزاد کردن
orient	سوق دادن - جهت دادن
disorientate	گیج کردن
aggregate	یک جا جمع کردن - انبوه ـ مجموع
prime	نخستین - مهمترین - بهترین - اصلی
primacy	برتری - تقدم
brevity	اختصار - conciseness
stylize	به سبک خاصی درآوردن
sustain	به اندازه نیاز ارایه دادن - حفظ کردن
welfare	رفاه - آسایش
discriminate	تفاوت یا تمایز قایل شدن - تبعیض قایل شدن
diverse	متنوع - گوناگون
estate	ملک - دارایی
explicit	صریح - روشن
frank	رُک - رک گو - صادق
implicit	تلویحی - ضمنی
federation	فدراسیون - اتحادیه
gender	جنسیت
ignorant	نادان - جاهل
motive	انگیزه
precede	مقدم بودن - جلوتر بودن
presume	احتمال دادن - فرض کردن
irrational	بی منطق و نامعقول
subsidy	سوبسید
advocacy	دفاع - طرفداری - حمایت
unaided	بدون کمک
definite	قطعی - معلوم
empirical	تجربی - not theoretical
globe	کُره - کُره زمین - کُروی کردن
identical	کاملا همانند
intervene	مداخله کردن - فاصله انداختن
paradigm	الگو - نمونه
prioritize	اولویت بندی کردن
solely	به تنهایی
somewhat	تا اندازه ای - مقدار کمی - rather
topical	مرتبط با موضوع روز
ambiguous	مبهم - چند پهلو
arbitrary	دیمی - دلبخواه - مستبدانه
bias	متمایل (به یک طرف) - به عقیده کسی جهت دادن
nonconformity	عدم پیروی - عدم موافقت
contemporary	معاصر - هم زمان - هم دوره
denote	indicate - represent
deviate	منحرف شدن
displace	جابجا کردن - replace
fluctuate	نوسان داشتن - تغییر مداوم داشتن
practitioner	متخصص
predominant	مسلط - غالب
prospect	منظره - دورنما - احتمال در آینده
